freq_hz,coherence
0.000000,0.032945
4.882812,0.058745
9.765625,0.065986
14.648438,0.085677
19.531250,0.116193
24.414062,0.076041
29.296875,0.087705
34.179688,0.076418
39.062500,0.048744
43.945312,0.081316
48.828125,0.075457
53.710938,0.075635
58.593750,0.075645
63.476562,0.068133
68.359375,0.108163
73.242188,0.101676
78.125000,0.084973
83.007812,0.091310
87.890625,0.082555
92.773438,0.050877
97.656250,0.158622
102.539062,0.074727
107.421875,0.055847
112.304688,0.068653
117.187500,0.108777
122.070312,0.052035
126.953125,0.117489
131.835938,0.163489
136.718750,0.076388
141.601562,0.084685
146.484375,0.069652
151.367188,0.056956
156.250000,0.103749
161.132812,0.071299
166.015625,0.047061
170.898438,0.094137
175.781250,0.033333
180.664062,0.052437
185.546875,0.043515
190.429688,0.070231
195.312500,0.030112
200.195312,0.055952
205.078125,0.029217
209.960938,0.047120
214.843750,0.043661
219.726562,0.069189
224.609375,0.054402
229.492188,0.073502
234.375000,0.039549
239.257812,0.063255
244.140625,0.047397
249.023438,0.035921
253.906250,0.023281
258.789062,0.044517
263.671875,0.052625
268.554688,0.048459
273.437500,0.035449
278.320312,0.039383
283.203125,0.037419
288.085938,0.023441
292.968750,0.042895
297.851562,0.037073
302.734375,0.035637
307.617188,0.043598
312.500000,0.068749
317.382812,0.044996
322.265625,0.051087
327.148438,0.063549
332.031250,0.054325
336.914062,0.056824
341.796875,0.054489
346.679688,0.054665
351.562500,0.088217
356.445312,0.050462
361.328125,0.076365
366.210938,0.057412
371.093750,0.055965
375.976562,0.059154
380.859375,0.054550
385.742188,0.054850
390.625000,0.051736
395.507812,0.064888
400.390625,0.055851
405.273438,0.056570
410.156250,0.048503
415.039062,0.066650
419.921875,0.058990
424.804688,0.064352
429.687500,0.055196
434.570312,0.084690
439.453125,0.077956
444.335938,0.058321
449.218750,0.051252
454.101562,0.054639
458.984375,0.064017
463.867188,0.062055
468.750000,0.097750
473.632812,0.060542
478.515625,0.059803
483.398438,0.054020
488.281250,0.058712
493.164062,0.053645
498.046875,0.050612
502.929688,0.052481
507.812500,0.055039
512.695312,0.053617
517.578125,0.055912
522.460938,0.054558
527.343750,0.055686
532.226562,0.052132
537.109375,0.055838
541.992188,0.065527
546.875000,0.059290
551.757812,0.055750
556.640625,0.064765
561.523438,0.055638
566.406250,0.061151
571.289062,0.059559
576.171875,0.050561
581.054688,0.059635
585.937500,0.061493
590.820312,0.059046
595.703125,0.071605
600.585938,0.053688
605.468750,0.058456
610.351562,0.056714
615.234375,0.061425
620.117188,0.062545
625.000000,0.052476
629.882812,0.050789
634.765625,0.056546
639.648438,0.060325
644.531250,0.057099
649.414062,0.051718
654.296875,0.056018
659.179688,0.054415
664.062500,0.055916
668.945312,0.060202
673.828125,0.052015
678.710938,0.050366
683.593750,0.052068
688.476562,0.060106
693.359375,0.050978
698.242188,0.055776
703.125000,0.057080
708.007812,0.049909
712.890625,0.052405
717.773438,0.051589
722.656250,0.058605
727.539062,0.054203
732.421875,0.051171
737.304688,0.048632
742.187500,0.049962
747.070312,0.050446
751.953125,0.054898
756.835938,0.056723
761.718750,0.053283
766.601562,0.066919
771.484375,0.056880
776.367188,0.054551
781.250000,0.054239
786.132812,0.056915
791.015625,0.056467
795.898438,0.052382
800.781250,0.055744
805.664062,0.056421
810.546875,0.058614
815.429688,0.057009
820.312500,0.052545
825.195312,0.057237
830.078125,0.055361
834.960938,0.054715
839.843750,0.051802
844.726562,0.055694
849.609375,0.052735
854.492188,0.056227
859.375000,0.054338
864.257812,0.053472
869.140625,0.051393
874.023438,0.058802
878.906250,0.055221
883.789062,0.051327
888.671875,0.052422
893.554688,0.055065
898.437500,0.056167
903.320312,0.055497
908.203125,0.056621
913.085938,0.062554
917.968750,0.050159
922.851562,0.051968
927.734375,0.056411
932.617188,0.053293
937.500000,0.052774
942.382812,0.053232
947.265625,0.052531
952.148438,0.051490
957.031250,0.050227
961.914062,0.050918
966.796875,0.050747
971.679688,0.052269
976.562500,0.054706
981.445312,0.051168
986.328125,0.057861
991.210938,0.052713
996.093750,0.064300
1000.976562,0.058183
1005.859375,0.056837
1010.742188,0.061838
1015.625000,0.057948
1020.507812,0.069879
1025.390625,0.054829
1030.273438,0.051958
1035.156250,0.050851
1040.039062,0.049037
1044.921875,0.049510
1049.804688,0.050450
1054.687500,0.054853
1059.570312,0.052567
1064.453125,0.054789
1069.335938,0.051461
1074.218750,0.053959
1079.101562,0.052659
1083.984375,0.050255
1088.867188,0.055208
1093.750000,0.050877
1098.632812,0.050169
1103.515625,0.053632
1108.398438,0.050310
1113.281250,0.050111
1118.164062,0.051340
1123.046875,0.053418
1127.929688,0.054239
1132.812500,0.051543
1137.695312,0.051557
1142.578125,0.053256
1147.460938,0.052421
1152.343750,0.050905
1157.226562,0.052890
1162.109375,0.051888
1166.992188,0.049773
1171.875000,0.051441
1176.757812,0.051957
1181.640625,0.052736
1186.523438,0.050480
1191.406250,0.053810
1196.289062,0.051901
1201.171875,0.050588
1206.054688,0.049590
1210.937500,0.057353
1215.820312,0.052896
1220.703125,0.054784
1225.585938,0.051488
1230.468750,0.052808
1235.351562,0.051649
1240.234375,0.051984
1245.117188,0.052678
1250.000000,0.055324
1254.882812,0.053243
1259.765625,0.052442
1264.648438,0.051751
1269.531250,0.054004
1274.414062,0.052974
1279.296875,0.051963
1284.179688,0.051867
1289.062500,0.051643
1293.945312,0.052135
1298.828125,0.051568
1303.710938,0.051916
1308.593750,0.053440
1313.476562,0.051601
1318.359375,0.051720
1323.242188,0.052119
1328.125000,0.052340
1333.007812,0.051425
1337.890625,0.051401
1342.773438,0.052865
1347.656250,0.051527
1352.539062,0.052397
1357.421875,0.053129
1362.304688,0.054608
1367.187500,0.050810
1372.070312,0.052985
1376.953125,0.051553
1381.835938,0.055313
1386.718750,0.052438
1391.601562,0.053728
1396.484375,0.056227
1401.367188,0.054441
1406.250000,0.052544
1411.132812,0.052388
1416.015625,0.052463
1420.898438,0.054034
1425.781250,0.052384
1430.664062,0.052095
1435.546875,0.052917
1440.429688,0.053488
1445.312500,0.052070
1450.195312,0.053438
1455.078125,0.051547
1459.960938,0.052392
1464.843750,0.051256
1469.726562,0.051759
1474.609375,0.053165
1479.492188,0.052424
1484.375000,0.052729
1489.257812,0.052597
1494.140625,0.051973
1499.023438,0.052987
1503.906250,0.051516
1508.789062,0.052966
1513.671875,0.053344
1518.554688,0.054505
1523.437500,0.054856
1528.320312,0.051450
1533.203125,0.051507
1538.085938,0.051323
1542.968750,0.053352
1547.851562,0.051864
1552.734375,0.052040
1557.617188,0.052993
1562.500000,0.052118
1567.382812,0.052339
1572.265625,0.051410
1577.148438,0.053199
1582.031250,0.051806
1586.914062,0.051500
1591.796875,0.055519
1596.679688,0.050663
1601.562500,0.052213
1606.445312,0.053372
1611.328125,0.053255
1616.210938,0.053720
1621.093750,0.052232
1625.976562,0.052529
1630.859375,0.051415
1635.742188,0.054174
1640.625000,0.052754
1645.507812,0.053715
1650.390625,0.052043
1655.273438,0.053470
1660.156250,0.051386
1665.039062,0.052603
1669.921875,0.052106
1674.804688,0.051616
1679.687500,0.051215
1684.570312,0.051198
1689.453125,0.051649
1694.335938,0.051775
1699.218750,0.051056
1704.101562,0.053681
1708.984375,0.052027
1713.867188,0.051986
1718.750000,0.053760
1723.632812,0.053817
1728.515625,0.053781
1733.398438,0.053007
1738.281250,0.051584
1743.164062,0.052592
1748.046875,0.054512
1752.929688,0.053175
1757.812500,0.052232
1762.695312,0.052202
1767.578125,0.053207
1772.460938,0.052495
1777.343750,0.053621
1782.226562,0.052082
1787.109375,0.053474
1791.992188,0.051045
1796.875000,0.051052
1801.757812,0.052712
1806.640625,0.051392
1811.523438,0.055767
1816.406250,0.051333
1821.289062,0.054235
1826.171875,0.051512
1831.054688,0.051456
1835.937500,0.052843
1840.820312,0.051805
1845.703125,0.052150
1850.585938,0.052765
1855.468750,0.055903
1860.351562,0.052101
1865.234375,0.054527
1870.117188,0.052816
1875.000000,0.051218
1879.882812,0.051743
1884.765625,0.051143
1889.648438,0.054353
1894.531250,0.052621
1899.414062,0.052468
1904.296875,0.054078
1909.179688,0.052115
1914.062500,0.052102
1918.945312,0.051378
1923.828125,0.051811
1928.710938,0.051239
1933.593750,0.052401
1938.476562,0.052575
1943.359375,0.053300
1948.242188,0.051916
1953.125000,0.051097
1958.007812,0.053936
1962.890625,0.054381
1967.773438,0.051894
1972.656250,0.052716
1977.539062,0.051289
1982.421875,0.052662
1987.304688,0.051357
1992.187500,0.055113
1997.070312,0.051513
2001.953125,0.052101
2006.835938,0.051289
2011.718750,0.051968
2016.601562,0.052865
2021.484375,0.052997
2026.367188,0.053236
2031.250000,0.051615
2036.132812,0.051593
2041.015625,0.051229
2045.898438,0.052556
2050.781250,0.051801
2055.664062,0.052024
2060.546875,0.051157
2065.429688,0.052173
2070.312500,0.051266
2075.195312,0.051340
2080.078125,0.051469
2084.960938,0.051459
2089.843750,0.053105
2094.726562,0.051541
2099.609375,0.051749
2104.492188,0.051468
2109.375000,0.053340
2114.257812,0.053276
2119.140625,0.051855
2124.023438,0.051532
2128.906250,0.052366
2133.789062,0.052951
2138.671875,0.052787
2143.554688,0.051363
2148.437500,0.051814
2153.320312,0.055617
2158.203125,0.052048
2163.085938,0.052742
2167.968750,0.053212
2172.851562,0.051204
2177.734375,0.052289
2182.617188,0.052378
2187.500000,0.052663
2192.382812,0.051560
2197.265625,0.051772
2202.148438,0.051697
2207.031250,0.053033
2211.914062,0.052215
2216.796875,0.051909
2221.679688,0.052368
2226.562500,0.051423
2231.445312,0.051551
2236.328125,0.051771
2241.210938,0.052326
2246.093750,0.051974
2250.976562,0.051746
2255.859375,0.051520
2260.742188,0.052041
2265.625000,0.052530
2270.507812,0.051418
2275.390625,0.052829
2280.273438,0.052160
2285.156250,0.051816
2290.039062,0.052713
2294.921875,0.052100
2299.804688,0.051814
2304.687500,0.051459
2309.570312,0.052444
2314.453125,0.051464
2319.335938,0.051213
2324.218750,0.052176
2329.101562,0.052298
2333.984375,0.051805
2338.867188,0.051623
2343.750000,0.054659
2348.632812,0.053258
2353.515625,0.051248
2358.398438,0.052294
2363.281250,0.051557
2368.164062,0.051621
2373.046875,0.051451
2377.929688,0.051836
2382.812500,0.052091
2387.695312,0.052599
2392.578125,0.051358
