freq_hz,lsd
0.000000,3.845166
4.882812,1.729091
9.765625,1.828130
14.648438,1.883717
19.531250,1.566014
24.414062,1.539644
29.296875,1.411700
34.179688,1.332756
39.062500,1.195376
43.945312,1.227053
48.828125,1.487591
53.710938,1.270859
58.593750,1.491519
63.476562,1.240805
68.359375,1.226978
73.242188,1.356785
78.125000,1.224899
83.007812,1.302705
87.890625,1.552321
92.773438,1.674086
97.656250,1.637763
102.539062,1.354928
107.421875,1.303811
112.304688,1.366158
117.187500,1.469039
122.070312,1.503614
126.953125,1.262525
131.835938,1.494696
136.718750,1.140416
141.601562,1.099272
146.484375,1.432024
151.367188,1.348734
156.250000,1.571855
161.132812,1.889652
166.015625,1.896990
170.898438,1.727371
175.781250,1.954769
180.664062,1.743967
185.546875,1.959111
190.429688,1.874276
195.312500,2.161671
200.195312,2.265471
205.078125,2.272951
209.960938,2.183263
214.843750,2.299886
219.726562,2.341863
224.609375,2.277962
229.492188,2.313150
234.375000,2.399046
239.257812,2.577650
244.140625,2.634861
249.023438,2.792022
253.906250,2.867587
258.789062,2.878832
263.671875,3.021560
268.554688,2.878438
273.437500,2.822091
278.320312,2.894317
283.203125,2.832107
288.085938,2.830361
292.968750,2.887017
297.851562,2.994465
302.734375,2.900947
307.617188,3.236755
312.500000,3.260212
317.382812,3.405366
322.265625,3.356796
327.148438,3.436170
332.031250,3.532858
336.914062,3.428737
341.796875,3.429562
346.679688,3.421725
351.562500,3.508137
356.445312,3.507127
361.328125,3.419294
366.210938,3.400887
371.093750,3.490136
375.976562,3.555459
380.859375,3.539958
385.742188,3.657707
390.625000,3.779118
395.507812,4.025929
400.390625,4.008429
405.273438,3.955026
410.156250,3.954943
415.039062,3.934449
419.921875,3.928925
424.804688,3.932540
429.687500,3.889944
434.570312,3.975721
439.453125,4.017857
444.335938,4.094674
449.218750,4.119563
454.101562,3.938544
458.984375,3.963303
463.867188,4.001500
468.750000,4.009100
473.632812,4.062131
478.515625,4.085101
483.398438,4.146203
488.281250,4.331217
493.164062,4.428155
498.046875,4.520523
502.929688,4.540223
507.812500,4.551040
512.695312,4.503594
517.578125,4.464621
522.460938,4.559393
527.343750,4.572882
532.226562,4.475439
